 ,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,fixation.stopped,line1.started,line2.started,line3.started,line4.started,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
-50,x,0,0,0,0,,,,,15.0778686,16.0855605,16.0855605,16.0855605,16.0855605,16.0855605,17.0846943,17.0846943,x,1,1.6579328,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,0,1,1,1,,,,,18.7684154,19.7681121,19.7681121,19.7681121,19.7681121,19.7681121,20.7684247,20.7684247,v,1,1.0937862,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
50,c,0,2,2,2,,,,,21.8849097,22.8851478,22.8851478,22.8851478,22.8851478,22.8851478,23.8849052,23.8849052,c,1,0.7724112,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,0,3,3,3,,,,,24.6850405,25.6850028,25.6850028,25.6850028,25.6850028,25.6850028,26.6843693,26.6843693,z,1,0.999487,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-50,x,1,0,4,0,,,,,27.7013995,28.701372,28.701372,28.701372,28.701372,28.701372,29.7010689,29.7010689,x,1,0.7798624,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,1,1,5,1,,,,,30.5007747,31.5012375,31.5012375,31.5012375,31.5012375,31.5012375,32.5011852,32.5011852,v,1,1.0428856,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
50,c,1,2,6,2,,,,,33.5679887,34.5680753,34.5680753,34.5680753,34.5680753,34.5680753,35.567964,35.567964,c,1,0.841056,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,1,3,7,3,,,,,36.4342787,37.4342677,37.4342677,37.4342677,37.4342677,37.4342677,38.4344406,38.4344406,z,1,0.9631315,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-50,x,2,0,8,0,,,,,39.4169647,40.4173881,40.4173881,40.4173881,40.4173881,40.4173881,41.4171332,41.4171332,x,1,1.0658086,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,2,1,9,1,,,,,42.5004801,43.5004929,43.5004929,43.5004929,43.5004929,43.5004929,44.5004998,44.5004998,v,1,1.0015456,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
50,c,2,2,10,2,,,,,45.5337523,46.5339821,46.5339821,46.5339821,46.5339821,46.5339821,47.5338024,47.5338024,c,1,0.8585366,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,2,3,11,3,,,,,48.4166663,49.4167916,49.4167916,49.4167916,49.4167916,49.4167916,50.4170568,50.4170568,z,1,1.0621558,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-50,x,3,0,12,0,,,,,51.5002231,52.5000412,52.5000412,52.5000412,52.5000412,52.5000412,53.5001935,53.5001935,x,1,2.3850339,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,3,1,13,1,,,,,55.9168276,56.9162051,56.9162051,56.9162051,56.9162051,56.9162051,57.9166099,57.9166099,v,1,1.3212195,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
50,c,3,2,14,2,,,,,59.266431,60.2667279,60.2667279,60.2667279,60.2667279,60.2667279,61.2663615,61.2663615,c,1,0.7334503,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-150,z,3,3,15,3,,,,,62.0159085,63.0165177,63.0165177,63.0165177,63.0165177,63.0165177,64.0157116,64.0157116,z,1,0.9206374,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
-50,x,4,0,16,0,,,,,64.9661931,65.9660533,65.9660533,65.9660533,65.9660533,65.9660533,66.9664935,66.9664935,x,1,1.1561436,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
150,v,4,1,17,1,,,,,68.1488107,69.1494622,69.1494622,69.1494622,69.1494622,69.1494622,70.1492795,70.1492795,v,1,1.0043313,None,2,1,2023-10-09_11h22.33.754,tutorial4,2023.1.3,60.25395838
